Load (N)	Extension (mm)
-66.466	-15.239
-66.145	-15.165
-65.823	-15.091
-65.501	-15.017
-65.179	-14.943
-64.857	-14.869
-64.535	-14.795
-64.214	-14.721
-63.892	-14.647
-63.570	-14.573
-63.248	-14.499
-62.926	-14.425
-62.604	-14.351
-62.283	-14.277
-61.961	-14.203
-61.639	-14.129
-61.317	-14.055
-60.995	-13.980
-60.673	-13.906
-60.352	-13.832
-60.030	-13.758
-59.708	-13.684
-59.386	-13.610
-59.064	-13.536
-58.742	-13.462
-58.421	-13.388
-58.099	-13.314
-57.777	-13.240
-57.455	-13.166
-57.133	-13.092
-56.811	-13.018
-56.490	-12.944
-56.168	-12.870
-55.846	-12.796
-55.524	-12.722
-55.202	-12.648
-54.816	-12.574
-54.173	-12.499
-53.530	-12.425
-52.888	-12.351
-52.245	-12.277
-51.603	-12.203
-51.188	-12.129
-50.941	-12.055
-50.693	-11.981
-50.446	-11.907
-50.199	-11.833
-49.952	-11.759
-49.705	-11.685
-49.458	-11.611
-49.210	-11.537
-48.963	-11.463
-48.654	-11.389
-48.269	-11.315
-47.883	-11.241
-47.498	-11.167
-47.113	-11.093
-46.727	-11.019
-46.342	-10.944
-45.957	-10.870
-45.571	-10.796
-45.186	-10.722
-44.801	-10.648
-44.415	-10.574
-44.030	-10.500
-43.644	-10.426
-43.259	-10.352
-42.874	-10.278
-42.488	-10.204
-42.103	-10.130
-41.718	-10.057
-41.442	-9.9826
-41.180	-9.9086
-40.919	-9.8347
-40.658	-9.7607
-40.396	-9.6867
-40.135	-9.6128
-39.874	-9.5388
-39.528	-9.4649
-39.119	-9.3909
-38.710	-9.3170
-38.301	-9.2430
-37.891	-9.1691
-37.482	-9.0951
-37.073	-9.0212
-36.664	-8.9472
-36.254	-8.8733
-35.845	-8.7993
-35.436	-8.7254
-35.027	-8.6514
-34.617	-8.5774
-34.276	-8.5034
-33.976	-8.4293
-33.676	-8.3553
-33.375	-8.2812
-33.075	-8.2072
-32.775	-8.1331
-32.474	-8.0591
-32.174	-7.9851
-31.874	-7.9110
-31.573	-7.8370
-31.273	-7.7629
-30.973	-7.6889
-30.672	-7.6149
