Load (N)	Extension (mm)
44.179	6.0887
44.346	6.1148
44.513	6.1408
44.646	6.1669
44.765	6.1930
44.883	6.2191
45.002	6.2452
45.121	6.2712
45.239	6.2973
45.358	6.3235
45.476	6.3498
45.595	6.3761
45.714	6.4024
45.832	6.4286
45.951	6.4549
46.069	6.4812
46.188	6.5075
46.306	6.5338
46.425	6.5601
46.544	6.5864
46.662	6.6127
46.781	6.6390
46.899	6.6653
47.018	6.6916
47.137	6.7178
47.255	6.7441
47.374	6.7704
47.492	6.7967
47.611	6.8230
47.730	6.8493
47.848	6.8756
47.967	6.9019
48.085	6.9282
48.204	6.9545
48.323	6.9808
48.441	7.0070
48.560	7.0333
48.678	7.0596
48.797	7.0859
48.915	7.1122
49.034	7.1385
49.153	7.1648
49.271	7.1911
49.390	7.2174
49.508	7.2436
49.627	7.2698
49.746	7.2959
49.864	7.3220
49.983	7.3482
50.101	7.3743
50.220	7.4005
50.339	7.4266
50.499	7.4527
50.733	7.4789
50.968	7.5050
51.202	7.5311
51.437	7.5573
51.671	7.5834
51.906	7.6096
52.140	7.6357
52.375	7.6618
52.609	7.6880
52.843	7.7141
53.078	7.7403
53.312	7.7664
53.547	7.7925
53.781	7.8187
54.016	7.8448
54.250	7.8710
54.485	7.8971
54.626	7.9232
54.750	7.9494
54.874	7.9755
54.998	8.0017
55.122	8.0278
55.247	8.0539
55.371	8.0788
55.495	8.1024
55.619	8.1259
55.744	8.1510
55.868	8.1794
55.992	8.2078
56.116	8.2362
56.240	8.2646
56.365	8.2918
56.489	8.3179
56.613	8.3440
56.737	8.3701
56.862	8.3962
56.986	8.4223
57.110	8.4484
57.234	8.4745
57.359	8.5006
57.483	8.5267
57.607	8.5528
57.731	8.5789
57.855	8.6050
57.980	8.6311
58.104	8.6571
58.228	8.6832
58.352	8.7093
58.477	8.7354
58.601	8.7615
58.725	8.7876
58.849	8.8137
58.973	8.8398
59.098	8.8659
59.222	8.8920
59.346	8.9181
59.470	8.9442
59.595	8.9703
59.719	8.9964
59.843	9.0225
59.967	9.0486
60.092	9.0747
60.216	9.1008
60.340	9.1268
60.464	9.1529
60.588	9.1790
60.713	9.2051
60.837	9.2312
60.961	9.2573
61.085	9.2834
61.210	9.3095
61.334	9.3356
61.458	9.3617
61.582	9.3878
61.706	9.4139
61.831	9.4400
61.998	9.4661
62.167	9.4922
62.337	9.5183
62.506	9.5444
62.675	9.5705
62.844	9.5965
63.014	9.6226
63.183	9.6487
63.352	9.6748
63.521	9.7009
63.690	9.7270
63.860	9.7531
64.029	9.7792
64.198	9.8053
64.367	9.8314
64.536	9.8575
64.706	9.8836
64.875	9.9097
65.044	9.9358
65.213	9.9619
65.382	9.9868
65.552	10.009
65.365	10.013
64.642	10.006
60.171	9.9723
56.610	9.9387
53.965	9.9051
53.381	9.8799
53.009	9.8555
52.637	9.8311
52.265	9.8067
51.893	9.7823
51.520	9.7579
51.148	9.7335
50.776	9.7091
50.404	9.6847
50.032	9.6603
49.659	9.6359
49.287	9.6101
48.915	9.5839
48.543	9.5578
48.171	9.5316
47.798	9.5054
47.426	9.4792
47.054	9.4531
46.682	9.4269
46.309	9.4007
45.984	9.3745
45.826	9.3484
45.668	9.3222
45.511	9.2960
45.353	9.2698
45.195	9.2437
45.038	9.2175
44.880	9.1913
44.722	9.1651
44.565	9.1390
44.407	9.1128
44.249	9.0866
44.092	9.0604
43.934	9.0342
43.776	9.0081
43.619	8.9819
43.461	8.9557
43.303	8.9295
43.146	8.9034
42.988	8.8772
42.830	8.8510
42.673	8.8248
42.515	8.7987
42.357	8.7725
42.200	8.7463
42.042	8.7201
41.884	8.6940
41.727	8.6678
41.569	8.6416
41.411	8.6154
41.254	8.5893
41.096	8.5631
40.938	8.5369
40.781	8.5107
40.623	8.4846
40.465	8.4584
40.308	8.4322
40.150	8.4060
39.992	8.3798
39.835	8.3537
39.677	8.3275
39.519	8.3013
39.362	8.2751
39.204	8.2490
39.046	8.2228
38.889	8.1966
38.731	8.1704
38.573	8.1443
38.416	8.1181
38.258	8.0919
38.100	8.0657
37.943	8.0396
37.785	8.0134
37.627	7.9872
37.470	7.9610
37.312	7.9349
37.154	7.9087
36.997	7.8825
36.839	7.8563
36.681	7.8302
36.524	7.8040
36.366	7.7778
36.208	7.7516
36.050	7.7254
35.893	7.6993
35.735	7.6731
35.577	7.6469
35.420	7.6207
35.262	7.5946
35.104	7.5684
34.947	7.5422
34.789	7.5160
34.631	7.4899
34.474	7.4637
34.316	7.4375
34.158	7.4113
34.001	7.3852
33.843	7.3590
33.685	7.3328
33.528	7.3066
33.370	7.2805
33.212	7.2543
33.055	7.2281
32.897	7.2019
32.739	7.1758
32.582	7.1496
32.424	7.1234
32.266	7.0972
32.109	7.0710
31.951	7.0449
31.793	7.0187
31.636	6.9925
31.478	6.9663
31.320	6.9402
31.163	6.9140
31.005	6.8878
30.847	6.8616
30.690	6.8355
30.532	6.8093
30.374	6.7831
30.217	6.7569
30.059	6.7308
29.901	6.7046
29.744	6.6784
29.586	6.6522
29.428	6.6261
29.271	6.5999
29.113	6.5737
28.955	6.5475
28.798	6.5214
28.640	6.4952
28.482	6.4690
28.325	6.4428
28.167	6.4166
28.009	6.3905
