Load (N)	Extension (mm)
-37.288	-9.0167
-37.136	-8.9905
-36.984	-8.9643
-36.832	-8.9381
-36.679	-8.9120
-36.527	-8.8858
-36.375	-8.8596
-36.223	-8.8334
-36.070	-8.8072
-35.918	-8.7810
-35.766	-8.7549
-35.614	-8.7287
-35.462	-8.7025
-35.309	-8.6763
-35.157	-8.6501
-35.005	-8.6239
-34.853	-8.5978
-34.700	-8.5716
-34.548	-8.5454
-34.396	-8.5192
-34.244	-8.4930
-34.092	-8.4668
-33.939	-8.4407
-33.787	-8.4145
-33.635	-8.3883
-33.483	-8.3621
-33.330	-8.3359
-33.178	-8.3097
-33.026	-8.2836
-32.874	-8.2574
-32.722	-8.2312
-32.569	-8.2050
-32.417	-8.1788
-32.265	-8.1526
-32.113	-8.1264
-31.960	-8.1003
-31.808	-8.0741
-31.656	-8.0479
-31.504	-8.0217
-31.352	-7.9955
-31.199	-7.9693
-31.047	-7.9432
-30.895	-7.9170
-30.743	-7.8908
-30.590	-7.8646
-30.438	-7.8384
-30.286	-7.8122
-30.134	-7.7861
-29.982	-7.7599
-29.829	-7.7337
-29.677	-7.7075
-29.525	-7.6813
-29.373	-7.6551
-29.220	-7.6290
-29.068	-7.6028
-28.916	-7.5766
-28.764	-7.5504
-28.612	-7.5242
-28.459	-7.4980
-28.307	-7.4718
-28.155	-7.4457
-28.003	-7.4195
-27.850	-7.3933
-27.698	-7.3671
-27.546	-7.3409
-27.394	-7.3147
-27.242	-7.2886
-27.089	-7.2624
-26.937	-7.2362
-26.785	-7.2100
-26.633	-7.1838
-26.480	-7.1576
-26.328	-7.1315
-26.176	-7.1053
-26.024	-7.0791
-25.872	-7.0529
-25.719	-7.0267
-25.567	-7.0005
-25.415	-6.9744
-25.330	-6.9482
-25.252	-6.9220
-25.175	-6.8958
-25.097	-6.8696
-25.020	-6.8434
-24.942	-6.8173
-24.864	-6.7911
-24.787	-6.7649
-24.709	-6.7387
-24.631	-6.7125
-24.554	-6.6863
-24.476	-6.6601
-24.398	-6.6340
-24.321	-6.6078
-24.243	-6.5816
-24.166	-6.5554
-24.088	-6.5292
-24.010	-6.5030
-23.933	-6.4769
-23.855	-6.4507
-23.777	-6.4245
-23.700	-6.3983
-23.622	-6.3721
-23.545	-6.3459
-23.467	-6.3198
-23.389	-6.2936
-23.312	-6.2674
-23.234	-6.2412
-23.135	-6.2150
-22.982	-6.1888
-22.828	-6.1627
-22.675	-6.1365
-22.521	-6.1103
-22.367	-6.0841
-22.214	-6.0579
-22.060	-6.0317
-21.907	-6.0056
-21.753	-5.9794
-21.600	-5.9532
-21.446	-5.9270
-21.293	-5.9008
-21.139	-5.8746
-20.985	-5.8484
-20.832	-5.8223
-20.678	-5.7961
-20.525	-5.7699
-20.371	-5.7437
-20.218	-5.7175
-20.064	-5.6913
-19.910	-5.6652
-19.757	-5.6390
-19.603	-5.6128
-19.450	-5.5866
-19.296	-5.5604
-19.143	-5.5342
-18.989	-5.5081
-18.836	-5.4819
-18.682	-5.4557
-18.528	-5.4295
-18.375	-5.4033
-18.221	-5.3771
-18.068	-5.3510
-17.914	-5.3248
-17.761	-5.2986
-17.607	-5.2724
-17.453	-5.2462
-17.300	-5.2200
-17.146	-5.1938
-16.993	-5.1677
-16.839	-5.1415
-16.686	-5.1153
-16.532	-5.0891
-16.378	-5.0629
-16.225	-5.0367
-16.071	-5.0106
-15.918	-4.9844
-15.784	-4.9582
-15.664	-4.9320
-15.545	-4.9058
-15.425	-4.8796
-15.306	-4.8535
-15.186	-4.8273
-15.067	-4.8011
-14.947	-4.7749
-14.828	-4.7487
-14.708	-4.7225
-14.589	-4.6964
-14.469	-4.6702
-14.350	-4.6440
-14.230	-4.6178
-14.111	-4.5916
-13.991	-4.5654
-13.872	-4.5393
-13.752	-4.5131
-13.633	-4.4869
-13.513	-4.4607
-13.394	-4.4345
-13.275	-4.4083
-13.155	-4.3821
-13.036	-4.3560
-12.916	-4.3298
-12.797	-4.3036
-12.677	-4.2774
-12.558	-4.2512
-12.438	-4.2250
-12.319	-4.1989
-12.199	-4.1727
-12.080	-4.1465
-11.960	-4.1203
-11.841	-4.0941
-11.721	-4.0679
-11.602	-4.0418
-11.482	-4.0156
-11.363	-3.9894
-11.243	-3.9632
-11.124	-3.9370
-11.004	-3.9108
-10.885	-3.8847
-10.765	-3.8585
-10.604	-3.8323
-10.418	-3.8061
-10.232	-3.7799
-10.046	-3.7537
-9.8602	-3.7276
-9.6743	-3.7014
-9.4884	-3.6752
-9.3025	-3.6490
-9.1166	-3.6228
-8.9307	-3.5966
-8.7447	-3.5704
-8.5588	-3.5443
-8.3729	-3.5181
-8.1870	-3.4919
-8.0011	-3.4657
-7.8152	-3.4395
-7.6292	-3.4133
-7.4433	-3.3872
-7.2574	-3.3610
-7.0686	-3.3348
-6.8775	-3.3086
-6.6864	-3.2824
-6.4952	-3.2562
-6.3041	-3.2301
-6.1130	-3.2039
-5.9219	-3.1777
-5.7307	-3.1515
-5.5396	-3.1253
-5.3485	-3.0991
-5.1573	-3.0730
-4.9662	-3.0468
-4.7751	-3.0206
-4.5840	-2.9944
-4.3928	-2.9682
-4.2017	-2.9420
-4.0106	-2.9158
-3.8194	-2.8897
-3.6283	-2.8635
-3.4372	-2.8373
-3.2460	-2.8111
-3.1944	-2.7849
-3.1629	-2.7587
-3.1313	-2.7326
-3.0998	-2.7064
-3.0682	-2.6802
-3.0367	-2.6540
-3.0051	-2.6278
-2.9735	-2.6016
-2.9420	-2.5755
-2.9104	-2.5493
-2.8789	-2.5231
-2.8473	-2.4969
-2.8158	-2.4707
-2.7842	-2.4445
-2.7526	-2.4172
-2.7211	-2.3888
-2.6895	-2.3605
-2.6580	-2.3330
-2.6264	-2.3068
-2.5949	-2.2807
-2.5633	-2.2545
-2.5318	-2.2283
-2.5002	-2.2022
-2.4686	-2.1760
-2.4371	-2.1498
-2.4055	-2.1237
-2.3740	-2.0975
-2.3424	-2.0713
-2.3109	-2.0452
-2.2793	-2.0190
-2.2478	-1.9928
-2.2162	-1.9667
-2.1846	-1.9405
-2.1531	-1.9143
-2.1215	-1.8882
-2.0900	-1.8620
-2.0584	-1.8358
-2.0269	-1.8097
-1.9953	-1.7835
-1.9638	-1.7573
-1.9322	-1.7312
-1.9006	-1.7050
-1.8691	-1.6788
-1.8375	-1.6527
-1.7121	-1.6265
-1.4093	-1.6003
-1.1066	-1.5741
-0.80381	-1.5480
-0.50104	-1.5218
-0.19827	-1.4956
0.10450	-1.4695
0.40726	-1.4433
0.71003	-1.4171
1.0128	-1.3910
1.3156	-1.3648
1.6183	-1.3386
1.9211	-1.3125
2.2239	-1.2863
2.5266	-1.2601
2.8294	-1.2340
3.0413	-1.2078
3.1389	-1.1816
3.2365	-1.1555
3.3341	-1.1293
3.4317	-1.1031
3.5293	-1.0770
3.6269	-1.0508
3.7245	-1.0246
3.8221	-0.99846
3.9198	-0.97230
4.0174	-0.94613
4.1150	-0.91996
4.2126	-0.89379
4.3102	-0.86763
4.4078	-0.84146
4.5054	-0.81529
4.6030	-0.78912
4.7006	-0.76296
4.7982	-0.73679
4.8959	-0.71062
4.9935	-0.68445
5.0911	-0.65829
5.1887	-0.63212
5.2863	-0.60595
5.3839	-0.57978
5.4815	-0.55362
5.5502	-0.52745
5.6189	-0.50128
5.6876	-0.47511
5.7563	-0.44894
5.8250	-0.42278
5.8937	-0.39661
5.9624	-0.37044
6.0311	-0.34427
6.0998	-0.31811
6.1685	-0.29194
6.2372	-0.26577
6.3059	-0.23960
6.3746	-0.21344
6.4433	-0.18727
6.5120	-0.16110
6.5807	-0.13493
6.6494	-0.10877
6.7181	-0.082599
6.7868	-0.056432
6.8554	-0.030264
6.9241	-0.0040967
6.9928	0.022071
7.0615	0.048238
7.1302	0.074406
7.1989	0.10057
7.2676	0.12674
7.3363	0.15291
7.5793	0.17908
7.8290	0.20524
8.0786	0.23141
8.3282	0.25758
8.5779	0.28375
8.8275	0.30991
9.0771	0.33608
9.3268	0.36225
9.5764	0.38842
9.8260	0.41458
10.076	0.44075
10.325	0.46692
10.575	0.49309
10.825	0.51925
11.074	0.54542
11.324	0.57159
11.573	0.59776
11.823	0.62392
12.073	0.65009
12.164	0.67626
12.233	0.70243
12.303	0.72859
12.372	0.75476
12.442	0.78093
12.511	0.80710
12.581	0.83340
12.650	0.85982
12.719	0.88624
12.789	0.91266
12.858	0.93908
12.928	0.96535
12.997	0.99157
13.067	1.0178
13.136	1.0440
13.205	1.0702
13.275	1.0964
13.344	1.1227
13.414	1.1489
13.483	1.1751
13.553	1.2013
13.622	1.2275
13.692	1.2537
13.761	1.2800
13.830	1.3062
13.900	1.3324
13.969	1.3586
14.039	1.3848
14.108	1.4111
14.178	1.4373
14.242	1.4635
14.303	1.4897
14.364	1.5159
14.426	1.5421
14.487	1.5684
14.548	1.5946
14.609	1.6208
14.671	1.6470
14.732	1.6732
14.793	1.6995
14.855	1.7257
14.916	1.7519
14.977	1.7781
