Load (N)	Extension (mm)
-23.249	-5.4785
-23.113	-5.4516
-22.978	-5.4247
-22.842	-5.3979
-22.706	-5.3710
-22.571	-5.3441
-22.435	-5.3172
-22.299	-5.2903
-22.164	-5.2634
-22.028	-5.2366
-21.892	-5.2097
-21.757	-5.1828
-21.621	-5.1559
-21.485	-5.1290
-21.350	-5.1021
-21.214	-5.0752
-21.078	-5.0484
-20.943	-5.0215
-20.807	-4.9946
-20.671	-4.9677
-20.536	-4.9408
-20.400	-4.9139
-20.264	-4.8871
-20.129	-4.8602
-19.993	-4.8333
-19.857	-4.8064
-19.722	-4.7795
-19.586	-4.7526
-19.450	-4.7257
-19.315	-4.6989
-19.179	-4.6720
-19.043	-4.6451
-18.908	-4.6182
-18.772	-4.5913
-18.636	-4.5644
-18.501	-4.5375
-18.365	-4.5107
-18.229	-4.4838
-18.094	-4.4569
-17.958	-4.4300
-17.822	-4.4031
-17.687	-4.3762
-17.551	-4.3494
-17.415	-4.3225
-17.280	-4.2956
-17.144	-4.2687
-17.008	-4.2418
-16.873	-4.2149
-16.737	-4.1880
-16.601	-4.1612
-16.466	-4.1343
-16.330	-4.1074
-16.194	-4.0805
-16.059	-4.0536
-15.923	-4.0267
-15.787	-3.9999
-15.652	-3.9730
-15.516	-3.9461
-15.380	-3.9192
-15.245	-3.8923
-15.109	-3.8654
-14.973	-3.8385
-14.838	-3.8117
-14.702	-3.7848
-14.566	-3.7579
-14.431	-3.7310
-14.295	-3.7041
-14.159	-3.6772
-14.024	-3.6503
-13.888	-3.6235
-13.752	-3.5966
-13.617	-3.5697
-13.481	-3.5428
-13.345	-3.5159
-13.210	-3.4890
-13.074	-3.4622
-12.938	-3.4353
-12.803	-3.4084
-12.669	-3.3815
-12.540	-3.3546
-12.412	-3.3277
-12.284	-3.3008
-12.156	-3.2740
-12.027	-3.2471
-11.899	-3.2202
-11.771	-3.1933
-11.643	-3.1664
-11.515	-3.1395
-11.386	-3.1127
-11.258	-3.0858
-11.130	-3.0589
-11.002	-3.0320
-10.873	-3.0051
-10.745	-2.9782
-10.617	-2.9513
-10.489	-2.9245
-10.361	-2.8976
-10.232	-2.8707
-10.104	-2.8438
-9.9759	-2.8169
-9.8476	-2.7900
-9.7194	-2.7631
-9.5912	-2.7363
-9.4418	-2.7094
-9.2598	-2.6825
-9.0777	-2.6556
-8.8957	-2.6287
-8.7136	-2.6018
-8.5316	-2.5750
-8.3495	-2.5481
-8.1675	-2.5212
-7.9854	-2.4943
-7.8034	-2.4674
-7.6213	-2.4405
-7.4393	-2.4136
-7.2572	-2.3868
-7.0752	-2.3599
-6.9059	-2.3330
-6.7526	-2.3061
-6.5992	-2.2792
-6.4459	-2.2523
-6.2926	-2.2255
-6.1392	-2.1986
-5.9859	-2.1717
-5.8325	-2.1448
-5.6792	-2.1179
-5.5259	-2.0910
-5.3725	-2.0641
-5.2192	-2.0373
-5.0658	-2.0104
-4.9125	-1.9835
-4.7592	-1.9566
-4.6058	-1.9297
-4.4525	-1.9028
-4.2991	-1.8759
-4.1458	-1.8491
-4.0215	-1.8222
-3.9022	-1.7953
-3.7830	-1.7684
-3.6637	-1.7415
-3.5445	-1.7146
-3.4253	-1.6878
-3.3060	-1.6609
-3.1868	-1.6340
-3.0675	-1.6071
-2.9483	-1.5802
-2.8291	-1.5533
-2.7098	-1.5264
-2.5906	-1.4996
-2.4713	-1.4727
-2.3521	-1.4458
-2.2293	-1.4189
-2.1001	-1.3920
-1.9708	-1.3651
-1.8416	-1.3383
-1.7124	-1.3114
-1.5831	-1.2845
-1.4539	-1.2576
-1.3246	-1.2307
-1.1954	-1.2038
-1.0662	-1.1769
-0.93691	-1.1500
-0.80767	-1.1231
-0.67843	-1.0962
-0.54919	-1.0693
-0.41995	-1.0424
-0.29071	-1.0155
-0.16147	-0.98857
-0.032233	-0.96166
0.097007	-0.93475
0.22625	-0.90784
0.35549	-0.88093
0.48473	-0.85402
0.61397	-0.82711
0.74321	-0.80020
0.87245	-0.77329
1.0017	-0.74638
1.1309	-0.71947
1.2602	-0.69256
1.3894	-0.66565
1.5186	-0.63874
1.6479	-0.61184
1.7771	-0.58493
1.9064	-0.55802
2.0356	-0.53111
2.1648	-0.50420
2.2941	-0.47729
2.4233	-0.45038
2.5526	-0.42347
2.6818	-0.39656
2.8110	-0.36965
2.9403	-0.34274
3.0695	-0.31583
3.1988	-0.28892
3.3280	-0.26201
3.4572	-0.23510
3.5865	-0.20819
3.7157	-0.18128
3.8450	-0.15437
3.9742	-0.12746
4.1034	-0.10055
4.2327	-0.073638
4.3619	-0.046729
4.4912	-0.019819
4.6204	0.0070911
4.7496	0.034001
4.8789	0.060911
5.0157	0.087821
5.1584	0.11473
5.3010	0.14164
5.4437	0.16855
5.5863	0.19546
5.7290	0.22237
5.8716	0.24928
6.0143	0.27619
6.1569	0.30310
6.2995	0.33001
6.4422	0.35692
6.5848	0.38383
6.7275	0.41074
6.8701	0.43765
7.0128	0.46456
7.1554	0.49147
7.2981	0.51838
7.4407	0.54529
7.5834	0.57220
7.7260	0.59911
7.8686	0.62602
8.0113	0.65293
8.1539	0.67984
8.2966	0.70675
8.4392	0.73366
8.5819	0.76057
8.7245	0.78748
8.8672	0.81439
9.0098	0.84130
9.1525	0.86821
9.2951	0.89512
9.4377	0.92203
9.5804	0.94894
9.7230	0.97585
9.8657	1.0028
10.008	1.0297
10.151	1.0566
10.294	1.0835
10.436	1.1104
10.579	1.1373
10.719	1.1642
10.852	1.1911
10.986	1.2180
11.119	1.2449
11.253	1.2719
11.386	1.2988
11.520	1.3257
11.653	1.3526
11.787	1.3795
11.920	1.4064
12.054	1.4333
12.187	1.4602
12.321	1.4871
12.454	1.5140
12.588	1.5410
12.721	1.5679
12.854	1.5948
12.988	1.6217
13.121	1.6486
13.255	1.6755
13.388	1.7024
13.522	1.7293
13.655	1.7562
13.789	1.7831
13.922	1.8101
